cube19cam3_24 icam: 1 direction: 3 [189.49, 194.15, 51.32, 5.29, 663.35, 666.91, 0.08435, 3] size(outline) :665.85,666.63
cube18cam2_62 icam: 1 direction: 0 [192.5, 189.16, 49.51, 12.33, 660.99, 664.53, 0, 0] size(outline) :660.19,668.2
cube19cam2_32 icam: 1 direction: 1 [185.23, 192.3, 48.89, 6.21, 662.0, 655.91, 0.21848, 1] size(outline) :662.91,665.23
cube19cam1_41 icam: 1 direction: 0 [194.45, 201.82, 50.13, 14.59, 664.04, 668.24, 0, 0] size(outline) :666.04,668.27
cube20cam1_11 icam: 1 direction: 0 [186.96, 198.07, 50.16, 4.32, 663.58, 667.19, 0, 0] size(outline) :664.59,667.25
cube19cam3_54 icam: 1 direction: 0 [194.45, 201.82, 50.13, 14.59, 664.04, 668.24, 0, 0] size(outline) :666.04,668.27
cube20cam3_24 icam: 1 direction: 3 [196.64, 189.66, 51.09, 8.49, 666.62, 667.21, 0.07741, 3] size(outline) :668.37,669.29
cube19cam2_62 icam: 1 direction: 0 [194.45, 201.82, 50.13, 14.59, 664.04, 668.24, 0, 0] size(outline) :666.04,668.27
cube20cam2_32 icam: 1 direction: 1 [193.44, 187.26, 49.3, 11.18, 657.99, 660.25, 0, 1] size(outline) :658.89,662.31
cube20cam1_41 icam: 1 direction: 0 [187.58, 189.8, 49.25, 9.31, 665.96, 667.2, 0, 0] size(outline) :666.85,665.99
cube21cam1_11 icam: 1 direction: 0 [194.53, 194.76, 49.71, 15.73, 658.42, 663.57, 0.24263, 0] size(outline) :659.69,664.73
cube20cam3_54 icam: 1 direction: 0 [187.58, 189.8, 49.25, 9.31, 665.96, 667.2, 0, 0] size(outline) :666.85,665.99
cube21cam3_24 icam: 1 direction: 3 [187.65, 192.68, 50.75, 7.07, 664.31, 663.24, 0, 3] size(outline) :665.11,661.9
cube20cam2_62 icam: 1 direction: 0 [187.58, 189.8, 49.25, 9.31, 665.96, 667.2, 0, 0] size(outline) :666.85,665.99
cube21cam2_32 icam: 1 direction: 1 [188.4, 197.58, 45.96, 133.95, 654.18, 656.02, 0.24385, 1] size(outline) :655.31,656.38
cube21cam1_41 icam: 1 direction: 0 [190.94, 197.07, 52.01, 4.23, 661.59, 660.6, 0.30603, 0] size(outline) :664.3,662.97
cube22cam1_11 icam: 1 direction: 0 [190.03, 199.06, 50.22, 10.43, 662.68, 663.75, 0.26375, 0] size(outline) :664.57,663.84
cube21cam3_54 icam: 1 direction: 0 [190.94, 197.07, 52.01, 4.23, 661.59, 660.6, 0.30603, 0] size(outline) :664.3,662.97
cube22cam3_24 icam: 1 direction: 3 [192.7, 191.63, 51.88, 7.49, 662.21, 664.95, 0, 3] size(outline) :664.32,664.86
cube21cam2_62 icam: 1 direction: 0 [190.94, 197.07, 52.01, 4.23, 661.59, 660.6, 0.30603, 0] size(outline) :664.3,662.97
cube22cam2_32 icam: 1 direction: 1 [193.88, 187.59, 49.45, 13.13, 657.13, 655.3, 0.26177, 1] size(outline) :660.07,654.6
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_41 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam1_11 icam: 1 direction: 0 [190.66, 199.27, 50.22, 6.0, 663.66, 668.93, 0, 0] size(outline) :664.54,669.9
cube1cam3_54 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam3_24 icam: 1 direction: 3 [195.46, 192.56, 52.11, 9.32, 665.64, 665.98, 0.23365, 3] size(outline) :665.88,667.86
cube1cam2_62 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam2_32 icam: 1 direction: 1 [191.82, 189.07, 49.02, 11.82, 658.09, 661.06, 0, 1] size(outline) :659.95,662.21
cube2cam1_41 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam1_11 icam: 1 direction: 0 [189.39, 199.89, 49.68, 4.96, 662.23, 667.3, 0, 0] size(outline) :662.97,665.18
cube2cam3_54 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam3_24 icam: 1 direction: 3 [196.78, 197.46, 51.17, 7.99, 664.73, 665.73, 0, 3] size(outline) :665.79,665.4
cube2cam2_62 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam2_32 icam: 1 direction: 1 [193.67, 188.32, 48.65, 6.77, 656.76, 658.22, 0, 1] size(outline) :657.75,658.38
cube3cam1_41 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam1_11 icam: 1 direction: 0 [185.32, 189.46, 49.35, 7.39, 663.61, 666.63, 0, 0] size(outline) :665.32,667.79
cube3cam3_54 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam3_24 icam: 1 direction: 3 [186.56, 188.36, 50.86, 5.02, 665.85, 665.26, 0, 3] size(outline) :666.51,666.33
cube3cam2_62 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam2_32 icam: 1 direction: 1 [180.26, 186.49, 48.33, 18.16, 657.45, 660.07, 0.14284, 1] size(outline) :658.02,664.24
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_41 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam1_11 icam: 1 direction: 0 [190.66, 199.27, 50.22, 6.0, 663.66, 668.93, 0, 0] size(outline) :664.54,669.9
cube1cam3_54 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam3_24 icam: 1 direction: 3 [195.46, 192.56, 52.11, 9.32, 665.64, 665.98, 0.23365, 3] size(outline) :665.88,667.86
cube1cam2_62 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam2_32 icam: 1 direction: 1 [191.82, 189.07, 49.02, 11.82, 658.09, 661.06, 0, 1] size(outline) :659.95,662.21
cube2cam1_41 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam1_11 icam: 1 direction: 0 [189.39, 199.89, 49.68, 4.96, 662.23, 667.3, 0, 0] size(outline) :662.97,665.18
cube2cam3_54 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam3_24 icam: 1 direction: 3 [196.78, 197.46, 51.17, 7.99, 664.73, 665.73, 0, 3] size(outline) :665.79,665.4
cube2cam2_62 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam2_32 icam: 1 direction: 1 [193.67, 188.32, 48.65, 6.77, 656.76, 658.22, 0, 1] size(outline) :657.75,658.38
cube3cam1_41 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam1_11 icam: 1 direction: 0 [185.32, 189.46, 49.35, 7.39, 663.61, 666.63, 0, 0] size(outline) :665.32,667.79
cube3cam3_54 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam3_24 icam: 1 direction: 3 [186.56, 188.36, 50.86, 5.02, 665.85, 665.26, 0, 3] size(outline) :666.51,666.33
cube3cam2_62 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam2_32 icam: 1 direction: 1 [180.26, 186.49, 48.33, 18.16, 657.45, 660.07, 0.14284, 1] size(outline) :658.02,664.24
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_41 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam1_11 icam: 1 direction: 0 [190.66, 199.27, 50.22, 6.0, 663.66, 668.93, 0, 0] size(outline) :664.54,669.9
cube1cam3_54 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam3_24 icam: 1 direction: 3 [195.46, 192.56, 52.11, 9.32, 665.64, 665.98, 0.23365, 3] size(outline) :665.88,667.86
cube1cam2_62 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam2_32 icam: 1 direction: 1 [191.82, 189.07, 49.02, 11.82, 658.09, 661.06, 0, 1] size(outline) :659.95,662.21
cube2cam1_41 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam1_11 icam: 1 direction: 0 [189.39, 199.89, 49.68, 4.96, 662.23, 667.3, 0, 0] size(outline) :662.97,665.18
cube2cam3_54 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam3_24 icam: 1 direction: 3 [196.78, 197.46, 51.17, 7.99, 664.73, 665.73, 0, 3] size(outline) :665.79,665.4
cube2cam2_62 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam2_32 icam: 1 direction: 1 [193.67, 188.32, 48.65, 6.77, 656.76, 658.22, 0, 1] size(outline) :657.75,658.38
cube3cam1_41 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam1_11 icam: 1 direction: 0 [185.32, 189.46, 49.35, 7.39, 663.61, 666.63, 0, 0] size(outline) :665.32,667.79
cube3cam3_54 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam3_24 icam: 1 direction: 3 [186.56, 188.36, 50.86, 5.02, 665.85, 665.26, 0, 3] size(outline) :666.51,666.33
cube3cam2_62 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam2_32 icam: 1 direction: 1 [180.26, 186.49, 48.33, 18.16, 657.45, 660.07, 0.14284, 1] size(outline) :658.02,664.24
cube4cam1_41 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam1_11 icam: 1 direction: 0 [189.83, 189.32, 49.37, 3.06, 665.65, 663.24, 0, 0] size(outline) :666.11,661.16
cube4cam3_54 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam3_24 icam: 1 direction: 3 [184.36, 189.18, 50.35, 9.01, 667.51, 665.37, 0, 3] size(outline) :671.01,666.29
cube4cam2_62 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam2_32 icam: 1 direction: 1 [202.45, 195.41, 48.87, 7.72, 657.33, 656.18, 0, 1] size(outline) :657.55,655.33
cube5cam1_41 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam1_11 icam: 1 direction: 0 [193.25, 198.51, 49.98, 9.08, 662.84, 663.83, 0.34162, 0] size(outline) :664.23,668.66
cube5cam3_54 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam3_24 icam: 1 direction: 3 [195.66, 189.37, 51.19, 8.84, 663.16, 666.59, 0.29367, 3] size(outline) :664.36,668.28
cube5cam2_62 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam2_32 icam: 1 direction: 1 [192.5, 187.63, 50.33, 349.69, 658.02, 656.01, 0.19456, 1] size(outline) :659.03,668.01
cube6cam1_41 icam: 1 direction: 0 [192.18, 200.8, 49.63, 7.31, 663.8, 666.22, 0.37177, 0] size(outline) :663.1,668.05
cube7cam1_11 icam: 1 direction: 0 [193.74, 195.18, 49.71, 5.11, 661.73, 665.82, 0, 0] size(outline) :661.93,663.93
cube6cam3_54 icam: 1 direction: 0 [192.18, 200.8, 49.63, 7.31, 663.8, 666.22, 0.37177, 0] size(outline) :663.1,668.05
cube7cam3_24 icam: 1 direction: 3 [186.75, 198.9, 51.38, 6.65, 665.15, 661.6, 0.289, 3] size(outline) :668.44,664.91
cube6cam2_62 icam: 1 direction: 0 [192.18, 200.8, 49.63, 7.31, 663.8, 666.22, 0.37177, 0] size(outline) :663.1,668.05
cube7cam2_32 icam: 1 direction: 1 [183.61, 192.32, 49.21, 9.38, 653.98, 656.21, 0, 1] size(outline) :655.04,655.32
cube7cam1_41 icam: 1 direction: 0 [191.47, 204.2, 50.62, 6.25, 661.55, 666.34, 0, 0] size(outline) :662.8,665.38
cube8cam1_11 icam: 1 direction: 0 [190.85, 202.13, 49.5, 3.03, 667.82, 668.11, 0, 0] size(outline) :667.98,666.16
cube7cam3_54 icam: 1 direction: 0 [191.47, 204.2, 50.62, 6.25, 661.55, 666.34, 0, 0] size(outline) :662.8,665.38
cube8cam3_24 icam: 1 direction: 3 [194.49, 189.05, 51.4, 6.42, 665.55, 662.12, 0, 3] size(outline) :668.28,663.4
cube7cam2_62 icam: 1 direction: 0 [191.47, 204.2, 50.62, 6.25, 661.55, 666.34, 0, 0] size(outline) :662.8,665.38
cube8cam2_32 icam: 1 direction: 1 [195.2, 189.6, 48.8, 7.71, 657.74, 657.74, 0, 1] size(outline) :658.87,656.54
cube8cam1_41 icam: 1 direction: 0 [188.34, 190.4, 48.88, 9.59, 660.96, 668.48, 0, 0] size(outline) :661.6,667.07
cube9cam1_11 icam: 1 direction: 0 [196.25, 200.83, 50.05, 10.11, 662.81, 664.05, 0.34134, 0] size(outline) :663.09,667.56
cube8cam3_54 icam: 1 direction: 0 [188.34, 190.4, 48.88, 9.59, 660.96, 668.48, 0, 0] size(outline) :661.6,667.07
cube9cam3_24 icam: 1 direction: 3 [194.7, 189.57, 51.71, 5.31, 663.33, 665.6, 0.17369, 3] size(outline) :664.43,667.86
cube8cam2_62 icam: 1 direction: 0 [188.34, 190.4, 48.88, 9.59, 660.96, 668.48, 0, 0] size(outline) :661.6,667.07
cube9cam2_32 icam: 1 direction: 1 [194.27, 186.5, 49.93, 257.9, 657.31, 655.51, 0.32676, 1] size(outline) :658.54,656.59
cube9cam1_41 icam: 1 direction: 0 [194.5, 201.3, 49.03, 8.78, 664.85, 666.79, 0.11117, 0] size(outline) :673.64,668.17
cube10cam1_11 icam: 1 direction: 0 [188.41, 197.86, 50.03, 7.88, 665.89, 664.31, 0, 0] size(outline) :667.26,665.79
cube9cam3_54 icam: 1 direction: 0 [194.5, 201.3, 49.03, 8.78, 664.85, 666.79, 0.11117, 0] size(outline) :673.64,668.17
cube10cam3_24 icam: 1 direction: 3 [194.66, 188.48, 51.39, 2.2, 668.22, 664.85, 0, 3] size(outline) :669.05,665.35
cube9cam2_62 icam: 1 direction: 0 [194.5, 201.3, 49.03, 8.78, 664.85, 666.79, 0.11117, 0] size(outline) :673.64,668.17
cube10cam2_32 icam: 1 direction: 1 [195.88, 194.15, 49.21, 7.53, 660.19, 660.35, 0.38822, 1] size(outline) :661.05,693.6
cube10cam1_41 icam: 1 direction: 0 [189.46, 192.16, 48.82, 11.01, 662.84, 670.32, 0, 0] size(outline) :665.19,671.96
cube11cam1_11 icam: 1 direction: 0 [189.38, 199.45, 49.83, 5.61, 663.07, 668.03, 0.0338, 0] size(outline) :666.92,669.3
cube10cam3_54 icam: 1 direction: 0 [189.46, 192.16, 48.82, 11.01, 662.84, 670.32, 0, 0] size(outline) :665.19,671.96
cube11cam3_24 icam: 1 direction: 3 [196.68, 196.89, 51.63, 5.45, 663.36, 663.84, 0.07218, 3] size(outline) :664.16,673.4
cube10cam2_62 icam: 1 direction: 0 [189.46, 192.16, 48.82, 11.01, 662.84, 670.32, 0, 0] size(outline) :665.19,671.96
cube11cam2_32 icam: 1 direction: 1 [195.16, 188.51, 48.95, 6.77, 658.78, 658.72, 0.19605, 1] size(outline) :662.77,659.14
cube11cam1_41 icam: 1 direction: 0 [186.77, 188.3, 49.21, 18.48, 663.69, 664.42, 0, 0] size(outline) :664.44,663.43
cube12cam1_11 icam: 1 direction: 0 [191.78, 187.85, 49.34, 2.99, 667.07, 664.86, 0.23559, 0] size(outline) :668.27,676.76
cube11cam3_54 icam: 1 direction: 0 [186.77, 188.3, 49.21, 18.48, 663.69, 664.42, 0, 0] size(outline) :664.44,663.43
cube12cam3_24 icam: 1 direction: 3 [186.46, 189.98, 50.1, 14.17, 665.89, 662.72, 0, 3] size(outline) :670.22,663.34
cube11cam2_62 icam: 1 direction: 0 [186.77, 188.3, 49.21, 18.48, 663.69, 664.42, 0, 0] size(outline) :664.44,663.43
cube12cam2_32 icam: 1 direction: 1 [185.19, 189.75, 48.26, 19.66, 657.25, 657.74, 0.23359, 1] size(outline) :667.88,658.4
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_41 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam1_11 icam: 1 direction: 0 [190.66, 199.27, 50.22, 6.0, 663.66, 668.93, 0, 0] size(outline) :664.54,669.9
cube1cam3_54 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam3_24 icam: 1 direction: 3 [195.46, 192.56, 52.11, 9.32, 665.64, 665.98, 0.23365, 3] size(outline) :665.88,667.86
cube1cam2_62 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam2_32 icam: 1 direction: 1 [191.82, 189.07, 49.02, 11.82, 658.09, 661.06, 0, 1] size(outline) :659.95,662.21
cube2cam1_41 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam1_11 icam: 1 direction: 0 [189.39, 199.89, 49.68, 4.96, 662.23, 667.3, 0, 0] size(outline) :662.97,665.18
cube2cam3_54 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam3_24 icam: 1 direction: 3 [196.78, 197.46, 51.17, 7.99, 664.73, 665.73, 0, 3] size(outline) :665.79,665.4
cube2cam2_62 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam2_32 icam: 1 direction: 1 [193.67, 188.32, 48.65, 6.77, 656.76, 658.22, 0, 1] size(outline) :657.75,658.38
cube3cam1_41 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam1_11 icam: 1 direction: 0 [185.32, 189.46, 49.35, 7.39, 663.61, 666.63, 0, 0] size(outline) :665.32,667.79
cube3cam3_54 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam3_24 icam: 1 direction: 3 [186.56, 188.36, 50.86, 5.02, 665.85, 665.26, 0, 3] size(outline) :666.51,666.33
cube3cam2_62 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam2_32 icam: 1 direction: 1 [180.26, 186.49, 48.33, 18.16, 657.45, 660.07, 0.14284, 1] size(outline) :658.02,664.24
cube4cam1_41 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam1_11 icam: 1 direction: 0 [189.83, 189.32, 49.37, 3.06, 665.65, 663.24, 0, 0] size(outline) :666.11,661.16
cube4cam3_54 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam3_24 icam: 1 direction: 3 [184.36, 189.18, 50.35, 9.01, 667.51, 665.37, 0, 3] size(outline) :671.01,666.29
cube4cam2_62 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam2_32 icam: 1 direction: 1 [202.45, 195.41, 48.87, 7.72, 657.33, 656.18, 0, 1] size(outline) :657.55,655.33
cube5cam1_41 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam1_11 icam: 1 direction: 0 [193.25, 198.51, 49.98, 9.08, 662.84, 663.83, 0.34162, 0] size(outline) :664.23,668.66
cube5cam3_54 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam3_24 icam: 1 direction: 3 [195.66, 189.37, 51.19, 8.84, 663.16, 666.59, 0.29367, 3] size(outline) :664.36,668.28
cube5cam2_62 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam2_32 icam: 1 direction: 1 [192.5, 187.63, 50.33, 349.69, 658.02, 656.01, 0.19456, 1] size(outline) :659.03,668.01
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_41 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam1_11 icam: 1 direction: 0 [190.66, 199.27, 50.22, 6.0, 663.66, 668.93, 0, 0] size(outline) :664.54,669.9
cube1cam3_54 icam: 1 direction: 3 [196.7, 190.6, 54.34, 42.27, 663.0, 663.16, 0, 3] size(outline) :663.84,663.19
cube2cam3_24 icam: 1 direction: 3 [195.46, 192.56, 52.11, 9.32, 665.64, 665.98, 0.23365, 3] size(outline) :665.88,667.86
cube1cam2_62 icam: 1 direction: 1 [197.06, 187.96, 48.88, 13.62, 654.61, 656.35, 0, 1] size(outline) :655.23,657.42
cube2cam2_32 icam: 1 direction: 1 [191.82, 189.07, 49.02, 11.82, 658.09, 661.06, 0, 1] size(outline) :659.95,662.21
cube2cam1_41 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam1_11 icam: 1 direction: 0 [189.39, 199.89, 49.68, 4.96, 662.23, 667.3, 0, 0] size(outline) :662.97,665.18
cube2cam3_54 icam: 1 direction: 3 [185.52, 189.56, 50.53, 3.31, 667.76, 665.13, 0, 3] size(outline) :668.35,665.58
cube3cam3_24 icam: 1 direction: 3 [196.78, 197.46, 51.17, 7.99, 664.73, 665.73, 0, 3] size(outline) :665.79,665.4
cube2cam2_62 icam: 1 direction: 1 [183.46, 191.45, 48.55, 8.11, 659.2, 658.42, 0.10191, 1] size(outline) :659.19,672.87
cube3cam2_32 icam: 1 direction: 1 [193.67, 188.32, 48.65, 6.77, 656.76, 658.22, 0, 1] size(outline) :657.75,658.38
cube3cam1_41 icam: 1 direction: 0 [192.33, 191.05, 49.21, 4.01, 665.94, 665.58, 0, 0] size(outline) :665.89,666.67
cube4cam1_11 icam: 1 direction: 0 [185.32, 189.46, 49.35, 7.39, 663.61, 666.63, 0, 0] size(outline) :665.32,667.79
cube3cam3_54 icam: 1 direction: 3 [186.58, 191.7, 50.12, 7.87, 668.48, 663.34, 0, 3] size(outline) :669.62,663.81
cube4cam3_24 icam: 1 direction: 3 [186.56, 188.36, 50.86, 5.02, 665.85, 665.26, 0, 3] size(outline) :666.51,666.33
cube3cam2_62 icam: 1 direction: 1 [192.98, 191.89, 48.82, 7.62, 657.46, 657.95, 0, 1] size(outline) :658.0,657.0
cube4cam2_32 icam: 1 direction: 1 [180.26, 186.49, 48.33, 18.16, 657.45, 660.07, 0.14284, 1] size(outline) :658.02,664.24
cube4cam1_41 icam: 1 direction: 0 [190.3, 195.95, 49.84, 12.15, 666.26, 663.26, 0, 0] size(outline) :666.0,664.02
cube5cam1_11 icam: 1 direction: 0 [189.83, 189.32, 49.37, 3.06, 665.65, 663.24, 0, 0] size(outline) :666.11,661.16
cube4cam3_54 icam: 1 direction: 3 [194.49, 189.82, 51.75, 5.75, 667.98, 666.04, 0, 3] size(outline) :669.21,666.46
cube5cam3_24 icam: 1 direction: 3 [184.36, 189.18, 50.35, 9.01, 667.51, 665.37, 0, 3] size(outline) :671.01,666.29
cube4cam2_62 icam: 1 direction: 1 [192.51, 188.35, 48.97, 6.8, 657.97, 657.09, 0.02882, 1] size(outline) :658.91,669.93
cube5cam2_32 icam: 1 direction: 1 [202.45, 195.41, 48.87, 7.72, 657.33, 656.18, 0, 1] size(outline) :657.55,655.33
cube5cam1_41 icam: 1 direction: 0 [189.1, 197.71, 50.65, 10.39, 661.79, 665.99, 0, 0] size(outline) :662.19,668.26
cube6cam1_11 icam: 1 direction: 0 [193.25, 198.51, 49.98, 9.08, 662.84, 663.83, 0.34162, 0] size(outline) :664.23,668.66
